latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
31.06377,47.62514,311.6,1.43,1.18,2025-06-09,0009,A,83,6.1NRT,291.34,19.9,N
31.35762,45.96747,306.25,1.16,1.07,2025-06-09,0009,A,67,6.1NRT,295.37,9.07,N
31.0673,47.62059,316.11,1.43,1.18,2025-06-09,0009,A,93,6.1NRT,291.79,25.97,N
30.48775,50.48677,305.92,2.28,1.46,2025-06-09,0009,A,66,6.1NRT,293.38,21.69,N
30.39168,50.62662,306.71,2.34,1.48,2025-06-09,0009,A,69,6.1NRT,295.28,23.13,N
31.03547,47.27448,312.77,1.37,1.16,2025-06-09,0009,A,86,6.1NRT,292.66,17.65,N
31.03292,47.28823,378.51,1.37,1.16,2025-06-09,0009,A,100,6.1NRT,301.63,234.2,N
31.03578,47.28213,352.65,1.37,1.16,2025-06-09,0009,A,100,6.1NRT,297.22,107.74,N
31.0333,47.29593,337.25,1.37,1.16,2025-06-09,0009,A,100,6.1NRT,299.31,61.7,N
30.39393,50.62054,308.19,2.34,1.48,2025-06-09,0009,A,74,6.1NRT,295.3,25.21,N
30.86541,47.91764,319.24,1.51,1.21,2025-06-09,0009,A,98,6.1NRT,293.24,31.86,N
30.86257,47.93274,324.81,1.51,1.21,2025-06-09,0009,A,100,6.1NRT,293.31,42.26,N
30.30129,50.74118,313.63,2.4,1.49,2025-06-09,0009,A,88,6.1NRT,292.49,43.08,N
30.76262,48.28139,311.7,1.6,1.24,2025-06-09,0009,A,83,6.1NRT,296.14,19.81,N
30.75187,48.27865,349.87,1.6,1.24,2025-06-09,0009,A,100,6.1NRT,294.82,121.97,N
30.74877,48.2946,332.33,1.6,1.25,2025-06-09,0009,A,100,6.1NRT,293.05,62.57,N
30.76008,48.27547,333.93,1.6,1.24,2025-06-09,0009,A,100,6.1NRT,294.93,66.48,N
30.75709,48.29145,342.95,1.6,1.25,2025-06-09,0009,A,100,6.1NRT,297.06,95.72,N
